-- Nathanael Kumar - Work for CSC 261 Group 3, Milestone 3 - November 15, 2025

$ cd import-csv
$ cat doctor_data.csv 
id, password, first_name, last_name, phone, email, department_id, is_active
0, d_pw_01, Emma, Xu, 555-398-4072, em94@example.com, 3, 1
1, d_pw_02, Liam, Patel, 555-284-1129, lp@example.com, 2, 1
2, d_pw_03, Sofia, Ramirez, 555-771-9034, sr@example.com, 5, 1
3, d_pw_04, Noah, Bennett, 555-640-5521, nb@example.com, 1, 0
4, d_pw_05, Ava, Kim, 555-913-4478, ak@example.com, 4, 1
5, d_pw_06, Ethan, Hassan, 555-225-9913, eh@example.com, 3, 1
6, d_pw_07, Isabella, Nguyen, 555-503-6684, in@example.com, 6, 1
7, d_pw_08, Mason, Silva, 555-844-7002, ms@example.com, 2, 1
8, d_pw_09, Olivia, Brooks, 555-130-5540, ob@example.com, 7, 1
9, d_pw_10, Jacob, Turner, 555-467-8829, jt@example.com, 1, 0
